LER,cutoff,p,d,code_type,basis,num_shots,num_switches,cluster_metric,bplsd_bp_method,bplsd_lsd_method,bplsd_lsd_order,bplsd_max_iter,bplsd_switching_cutoff,strong_num_sets,strong_gamma0,strong_gamma_dist_interval,strong_relay_max_iter
0.0016999999999999635,0.005,0.001,6,RSC,x,110000,992,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.005,20.0,0.3,0.4,30.0
0.0010272727272727092,0.007,0.001,6,RSC,x,110000,509,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.007,20.0,0.3,0.4,30.0
0.0006904761904761905,0.01,0.001,6,RSC,x,210000,576,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.01,20.0,0.3,0.4,30.0
0.0022,0.05,0.001,6,BB,x,5000,0,,,,,,,,,,
0.00032857142857142856,0.05,0.001,6,RSC,x,210000,1,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.05,20.0,0.3,0.4,30.0
0.002652173913043461,0.1,0.001,6,BB,x,115000,0,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.1,20.0,0.3,0.4,30.0
0.0003,0.1,0.001,6,RSC,x,210000,0,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.1,20.0,0.3,0.4,30.0
0.019854166666666666,0.005,0.001,10,RSC,x,48000,3894,,,,,,,,,,
0.02218,0.007,0.001,10,RSC,x,50000,3639,,,,,,,,,,
0.02306,0.01,0.001,10,RSC,x,50000,3152,,,,,,,,,,
0.0007857142857142857,0.05,0.001,10,BB,x,14000,8,,,,,,,,,,
0.03034,0.05,0.001,10,RSC,x,100000,2304,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.05,20.0,0.3,0.4,30.0
0.0007647058823529412,0.1,0.001,10,BB,x,17000,4,,,,,,,,,,
0.03465,0.1,0.001,10,RSC,x,100000,1229,cluster_llrs,minimum_sum,LSD_0,0.0,10.0,0.1,20.0,0.3,0.4,30.0
0.039,0.005,0.001,12,RSC,x,14000,1679,,,,,,,,,,
0.04106666666666667,0.007,0.001,12,RSC,x,15000,1587,,,,,,,,,,
0.043533333333333334,0.01,0.001,12,RSC,x,15000,1473,,,,,,,,,,
0.0,0.05,0.001,12,BB,x,5000,0,,,,,,,,,,
0.050175,0.05,0.001,12,RSC,x,40000,1605,,,,,,,,,,
1.8181818181818182e-05,0.1,0.001,12,BB,x,55000,1,,,,,,,,,,
0.0526,0.1,0.001,12,RSC,x,50000,820,,,,,,,,,,
0.0108,0.005,0.003,6,RSC,x,10000,259,,,,,,,,,,
0.0071,0.007,0.003,6,RSC,x,10000,142,,,,,,,,,,
0.0064,0.01,0.003,6,RSC,x,10000,72,,,,,,,,,,
0.0034,0.05,0.003,6,RSC,x,10000,0,,,,,,,,,,
0.0044,0.1,0.003,6,RSC,x,10000,0,,,,,,,,,,
0.0944,0.005,0.003,10,RSC,x,10000,2855,,,,,,,,,,
0.0908,0.007,0.003,10,RSC,x,10000,2264,,,,,,,,,,
0.0837,0.01,0.003,10,RSC,x,10000,1783,,,,,,,,,,
0.0964,0.05,0.003,10,RSC,x,10000,467,,,,,,,,,,
0.0976,0.1,0.003,10,RSC,x,10000,188,,,,,,,,,,
0.1504,0.005,0.003,12,RSC,x,5000,1752,,,,,,,,,,
0.1505,0.007,0.003,12,RSC,x,6000,1744,,,,,,,,,,
0.15057142857142858,0.01,0.003,12,RSC,x,7000,1677,,,,,,,,,,
0.1512,0.05,0.003,12,RSC,x,10000,751,,,,,,,,,,
0.1513,0.1,0.003,12,RSC,x,10000,306,,,,,,,,,,
0.0342,0.005,0.005,6,RSC,x,10000,591,,,,,,,,,,
0.028,0.007,0.005,6,RSC,x,10000,390,,,,,,,,,,
0.0219,0.01,0.005,6,RSC,x,10000,224,,,,,,,,,,
0.0186,0.05,0.005,6,RSC,x,10000,2,,,,,,,,,,
0.0204,0.1,0.005,6,RSC,x,10000,0,,,,,,,,,,
0.21,0.005,0.005,10,RSC,x,6000,3417,,,,,,,,,,
0.19657142857142856,0.007,0.005,10,RSC,x,7000,3176,,,,,,,,,,
0.17755555555555555,0.01,0.005,10,RSC,x,9000,2993,,,,,,,,,,
0.1634,0.05,0.005,10,RSC,x,10000,582,,,,,,,,,,
0.1716,0.1,0.005,10,RSC,x,10000,231,,,,,,,,,,
0.28,0.005,0.005,12,RSC,x,2000,1342,,,,,,,,,,
0.263,0.007,0.005,12,RSC,x,2000,1057,,,,,,,,,,
0.2695,0.01,0.005,12,RSC,x,4000,1697,,,,,,,,,,
0.2468,0.05,0.005,12,RSC,x,10000,952,,,,,,,,,,
0.2364,0.1,0.005,12,RSC,x,10000,348,,,,,,,,,,
0.1042,0.005,0.008,6,RSC,x,5000,763,,,,,,,,,,
0.079,0.007,0.008,6,RSC,x,5000,469,,,,,,,,,,
0.0754,0.01,0.008,6,RSC,x,5000,278,,,,,,,,,,
0.0644,0.05,0.008,6,RSC,x,5000,5,,,,,,,,,,
0.0642,0.1,0.008,6,RSC,x,5000,0,,,,,,,,,,
0.3725,0.005,0.008,10,RSC,x,2000,2386,,,,,,,,,,
0.3453333333333333,0.007,0.008,10,RSC,x,3000,2814,,,,,,,,,,
0.3196,0.01,0.008,10,RSC,x,5000,3397,,,,,,,,,,
0.2932,0.05,0.008,10,RSC,x,5000,465,,,,,,,,,,
0.289,0.1,0.008,10,RSC,x,5000,131,,,,,,,,,,
0.436,0.005,0.008,12,RSC,x,1000,1473,,,,,,,,,,
0.424,0.007,0.008,12,RSC,x,1000,1142,,,,,,,,,,
