LER,cutoff,p,d,basis,cluster_metric,num_shots,code_type,num_switches
0.0001,,0.001,6,x,,10000,RSC,
0.001,,0.001,6,x,,10000,BB,
0.0065,,0.003,6,x,,10000,RSC,
0.0248,,0.005,6,x,,5000,RSC,
0.1026,,0.003,6,x,,10000,BB,
0.0005,,0.001,10,x,,10000,BB,
0.0,,0.001,12,x,,10000,BB,
0.5044,,0.005,6,x,,5000,BB,
0.095,,0.008,6,x,,1000,RSC,
0.0006,,0.001,6,x,,10000,RSC,
0.0018,,0.001,6,x,,10000,BB,
0.0292,,0.005,6,x,,5000,RSC,
0.0077,,0.003,6,x,,10000,RSC,
0.955,,0.008,6,x,,1000,BB,
0.1053,,0.003,6,x,,10000,BB,
0.5134,,0.005,6,x,,5000,BB,
0.089,,0.008,6,x,,1000,RSC,
0.152,,0.01,6,x,,1000,RSC,
0.0002,,0.001,6,x,,10000,RSC,
0.001,,0.001,6,x,,10000,BB,
0.0244,,0.005,6,x,,5000,RSC,
0.0049,,0.003,6,x,,10000,RSC,
0.958,,0.008,6,x,,1000,BB,
0.1043,,0.003,6,x,,10000,BB,
0.996,,0.01,6,x,,1000,BB,
0.5162,,0.005,6,x,,5000,BB,
