LER,cutoff,p,d,basis,cluster_metric,num_shots,code_type,num_switches,strong_num_sets,strong_gamma0,strong_gamma_dist_interval,strong_relay_max_iter,strong_priors
0.221,,0.003,6,x,,1000,RSC,,20,0.3,0.4,30,[0.00578065 0.01149448 0.00578065 ... 0.00854832 0.00854832 0.00379584]
0.325,,0.005,6,x,,1000,RSC,,20,0.3,0.4,30,[0.00961295 0.01904109 0.00961295 ... 0.01419002 0.01419002 0.00632176]
0.4,,0.008,6,x,,1000,RSC,,20,0.3,0.4,30,[0.01532926 0.03018854 0.01532926 ... 0.02256732 0.02256732 0.0101037 ]
0.445,,0.01,6,x,,1000,RSC,,20,0.3,0.4,30,[0.01911874 0.03750642 0.01911874 ... 0.02809568 0.02809568 0.01262034]
0.999,,0.01,6,x,,1000,BB,,20,0.3,0.4,30,[0.03119259 0.03119259 0.04846261 ... 0.02992554 0.02992554 0.02992554]
0.99,,0.003,6,x,,1000,BB,,20,0.3,0.4,30,[0.00952668 0.00952668 0.01499804 ... 0.00913273 0.00913273 0.00913273]
1.0,,0.008,6,x,,1000,BB,,20,0.3,0.4,30,[0.02508194 0.02508194 0.0391155  ... 0.02405785 0.02405785 0.02405785]
1.0,,0.005,6,x,,1000,BB,,20,0.3,0.4,30,[0.01579686 0.01579686 0.02477522 ... 0.01514692 0.01514692 0.01514692]
0.093,,0.001,6,x,,1000,RSC,,20,0.3,0.4,30,[0.00193118 0.00385491 0.00193118 ... 0.00286092 0.00286092 0.0012662 ]
0.682,,0.001,6,x,,1000,BB,,20,0.3,0.4,30,[0.00319183 0.00319183 0.00504411 ... 0.00305917 0.00305917 0.00305917]
